region,out_degree,in_degree
Isocortex,174,108
FRP,105,59
MO,127,59
MOp,86,45
MOs,149,68
SS,98,50
SSp,93,44
SSp-n,63,30
SSp-bfd,109,40
SSp-ll,92,42
SSp-m,62,38
SSp-ul,75,45
SSp-tr,129,59
SSp-un,84,47
SSs,115,61
GU,79,46
VISC,106,63
AUD,96,57
AUDd,94,56
AUDp,90,51
AUDpo,103,58
AUDv,91,57
VIS,91,62
VISal,114,68
VISam,148,70
VISl,87,60
VISp,51,56
VISpl,76,45
VISpm,115,54
VISli,101,61
VISpor,90,52
ACA,186,65
ACAd,177,72
ACAv,201,57
PL,193,68
ILA,226,81
ORB,159,73
ORBl,147,67
ORBm,162,75
ORBvl,159,72
AI,95,78
AId,90,65
AIp,103,56
AIv,84,80
RSP,127,46
RSPagl,118,55
RSPd,114,45
RSPv,132,43
PTLp,128,69
VISa,144,68
VISrl,95,66
TEa,109,75
PERI,101,56
ECT,91,82
OLF,76,40
MOB,18,14
AOB,22,28
AOBgl,23,25
AOBgr,21,28
AOBmi,23,14
AON,78,56
TT,97,62
TTd,107,68
TTv,80,53
DP,106,79
PIR,78,38
NLOT,85,64
COA,93,49
COAa,87,62
COAp,92,47
COApl,91,48
COApm,88,45
PAA,90,41
TR,85,50
HPF,115,44
HIP,81,27
CA,85,31
CA1,109,36
CA2,47,30
CA3,50,34
DG,54,25
DG-mo,59,25
DG-po,49,33
DG-sg,47,35
FC,27,20
IG,66,49
RHP,133,54
ENT,139,56
ENTl,137,54
ENTm,120,42
PAR,28,31
POST,98,61
PRE,50,47
SUB,125,38
ProS,138,49
HATA,79,47
APr,12,45
CTXsp,107,95
CLA,57,105
EP,92,65
EPd,80,64
EPv,110,67
LA,104,104
BLA,121,93
BLAa,107,108
BLAp,123,79
BLAv,107,64
BMA,106,82
BMAa,78,79
BMAp,115,74
PA,113,80
STR,57,182
STRd,31,141
CP,31,141
STRv,57,97
ACB,37,112
FS,53,95
OT,70,50
LSX,59,129
LS,59,134
LSc,53,43
LSr,57,137
LSv,52,122
SF,52,63
SH,49,91
sAMY,92,103
AAA,101,79
BA,90,57
CEA,87,114
CEAc,80,113
CEAl,70,80
CEAm,97,143
IA,93,84
MEA,79,87
PAL,117,194
PALd,92,108
GPe,87,110
GPi,89,68
PALv,70,122
SI,67,129
MA,74,79
PALm,129,149
MSC,133,167
